FeatureID	FIELD_PA	EXP_PA	TYPE_PA	Taxon
16abcb971fadf97d9d3281ff47d3c601	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;
16dfc126845605c8a6c5dad85864b0a0	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Sagenista;MAST-10;MAST-10_X;MAST-10_XX;MAST-10_XXX;MAST-10_XXX_sp.;
16fb5b7f47dbd172dea98cb7c8be467c	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Novel-Gran-234_X_sp.;
17af43c2b2fc1033ddc3faac00e80f2b	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Karyorelictea;Karyorelictea_X;Trachelocercidae;Trachelocercidae_X;Trachelocercidae_X_sp.;
17d2490fe855503e2e2b474c46a285a1	Shared across	Shared	Cosmo	Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa
17d50babd3a9473b29eca3f98f264875	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;
17e42250de6d7598978efe68b82718da	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-15;Dino-Group-II-Clade-15_X;Dino-Group-II-Clade-15_X_sp.;
180f4cfbed45525898c68ee6c9ea4516	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_X;Labyrinthulomycetes_X_LAB14;Labyrinthulomycetes_X_LAB14_X;Labyrinthulomycetes_X_LAB14_X_sp.;
18451bbd12982b3b3596dffd89d291db	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Goniomonadales;Goniomonadales_X;Goniomonas;Goniomonas_sp.;
1846bbd39bb3e01e7315a85e4e1ddece	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X
185ab8298ce9824c8b4b0b85c7236396	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;
185da672587f831efaa84f9a39613a53	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;MAST-2;MAST-2A;MAST-2A_X;MAST-2A_XX;MAST-2A_XX_sp.;
1875b32cafacd48802a84a4268ef20d8	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;MOCH-5;MOCH-5_X;MOCH-5_XX;MOCH-5_XXX;MOCH-5_XXX_sp.;
