"","SAMPLE","Site","Experiment","Name","REP","SizeFrac","r.squared","INTERCEPT","SLOPE","EXPID","TimePoint","Replicate_ID","EXP_TYPE","IGT_REP","total_euks_noFLP","total_FLP","total_euks_wflp","Minutes","SiteOrigin","FLUID_ORIGIN","CRUISE_SAMPLE","EXP_REPS","EXP_VOL","CTRL_REPS","CTRL_VOL","FLPperEuk","SITE","TYPE","SiteOrder","NameOrder"
"52","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T15-Rep3","T15","Rep3","Bag","Bag",14,5,3,15,"Plume","CTD001","Niskin 2",3,2,2,1,0.294117647058824,"VD","Bag","Von Damm","Plume"
"53","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep1","T20","Rep1","Bag","Bag",16,6,4,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.3,"VD","Bag","Von Damm","Plume"
"54","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep2","T20","Rep2","Bag","Bag",10,11,4,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.785714285714286,"VD","Bag","Von Damm","Plume"
"55","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep3","T20","Rep3","Bag","Bag",13,12,5,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.666666666666667,"VD","Bag","Von Damm","Plume"
"56","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep1","T40","Rep1","Bag","Bag",19,9,5,57,"Plume","CTD001","Niskin 2",3,2,2,1,0.375,"VD","Bag","Von Damm","Plume"
"57","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep2","T40","Rep2","Bag","Bag",12,17,9,57,"Plume","CTD001","Niskin 2",3,2,2,1,0.80952380952381,"VD","Bag","Von Damm","Plume"
"58","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep3","T40","Rep3","Bag","Bag",6,13,5,57,"Plume","CTD001","Niskin 2",3,2,2,1,1.18181818181818,"VD","Bag","Von Damm","Plume"
"59","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T0-Rep1","T0","Rep1","Bag","Bag",11,16,5,0,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1,"VD","Bag","Von Damm","Ravelin #2"
"60","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T0-Rep2","T0","Rep2","Bag","Bag",19,6,4,0,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.260869565217391,"VD","Bag","Von Damm","Ravelin #2"
"61","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T10-Rep1","T10","Rep1","Bag","Bag",5,17,5,10,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1.7,"VD","Bag","Von Damm","Ravelin #2"
"62","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T10-Rep2","T10","Rep2","Bag","Bag",15,4,3,10,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.222222222222222,"VD","Bag","Von Damm","Ravelin #2"
"63","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep1","T15","Rep1","Bag","Bag",9,19,7,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1.1875,"VD","Bag","Von Damm","Ravelin #2"
"64","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep2","T15","Rep2","Bag","Bag",18,11,7,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.44,"VD","Bag","Von Damm","Ravelin #2"
"65","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep3","T15","Rep3","Bag","Bag",2,11,3,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,2.2,"VD","Bag","Von Damm","Ravelin #2"
